Weekday,Total_Traffic
Monday,4816720.038461538
Tuesday,5446010.961538462
Wednesday,5590394.211538462
Thursday,5531566.846153846
Friday,5252884.461538462
Saturday,3513603.519230769
Sunday,2897262.1153846155
